x;y;V
681299;7181210;1185
681301;7183308;1186
681303;7181842;1187
681303;7183293;1188
681305;7183022;1189
681307;7181604;1190
681307;7182651;1191
681315;7181660;1192
681316;7183189;1193
681318;7181681;1194
681319;7182369;1195
681320;7181991;1196
681321;7182275;1197
681322;7182167;1198
681322;7182316;1199
681323;7182112;1200
681323;7183130;1201
681328;7181757;1202
681330;7183070;1203
681333;7181281;1204
681334;7180859;1205
681334;7181070;1206
681338;7182327;1207
681340;7182992;1208
681342;7181835;1209
681344;7183474;1210
681345;7182528;1211
681345;7183223;1212
681348;7182933;1213
681350;7181912;1214
681353;7182330;1215
681355;7181324;1216
681355;7183410;1217
681356;7182378;1218
681358;7181991;1219
681360;7182069;1220
681362;7182816;1221
681365;7183274;1222
681367;7182469;1223
681370;7182748;1224
681371;7183606;1225
681373;7183151;1226
681374;7182130;1227
681376;7181365;1228
681377;7182694;1229
681379;7183167;1230
681381;7183369;1231
681382;7182472;1232
681385;7182464;1233
681385;7183082;1234
681388;7182181;1235
681388;7182473;1236
681392;7183211;1237
681394;7183020;1238
681395;7182545;1239
681397;7183437;1240
681398;7182991;1241
681399;7183149;1242
681403;7183248;1243
681404;7182946;1244
681405;7182389;1245
681410;7182665;1246
681410;7183323;1247
681411;7182900;1248
681412;7182948;1249
681412;7183087;1250
681414;7182632;1251
681418;7181027;1252
681418;7181236;1253
681418;7182344;1254
681418;7182599;1255
681423;7183394;1256
681425;7180813;1257
681425;7183539;1258
681428;7182834;1259
681439;7183464;1260
681440;7181279;1261
681443;7183269;1262
681445;7183151;1263
681448;7182535;1264
681448;7183351;1265
681449;7182787;1266
681456;7182198;1267
681456;7183097;1268
681459;7182487;1269
681461;7183194;1270
681463;7182151;1271
681464;7182070;1272
681464;7182741;1273
681468;7182724;1274
681476;7182920;1275
681478;7182408;1276
681478;7182674;1277
681483;7181366;1278
681483;7182641;1279
681484;7183292;1280
681487;7182607;1281
681488;7183203;1282
681491;7182572;1283
681495;7183181;1284
681501;7183164;1285
681502;7181193;1286
681503;7183155;1287
681505;7183209;1288
681508;7182550;1289
681509;7180769;1290
681510;7180980;1291
681517;7182498;1292
681517;7182701;1293
681523;7181231;1294
681523;7182219;1295
681529;7182500;1296
681531;7183319;1297
681533;7182620;1298
681536;7183308;1299
681538;7182168;1300
681539;7182072;1301
681540;7181994;1302
681540;7182570;1303
681542;7181916;1304
681543;7181838;1305
681544;7181759;1306
681545;7181684;1307
681546;7181608;1308
681546;7182426;1309
681547;7181532;1310
681549;7181366;1311
681549;7181449;1312
681549;7182816;1313
681550;7181287;1314
681551;7182712;1315
681556;7183241;1316
681565;7182508;1317
681572;7183199;1318
681573;7182306;1319
681575;7182595;1320
681576;7182877;1321
681585;7182598;1322
681586;7182722;1323
681589;7182240;1324
681593;7180726;1325
681594;7180937;1326
681594;7181145;1327
681595;7183126;1328
681606;7182516;1329
681606;7182603;1330
681607;7183083;1331
681609;7182389;1332
681613;7182187;1333
681613;7183064;1334
681615;7181185;1335
681615;7182518;1336
681616;7182072;1337
681616;7183223;1338
681623;7182588;1339
681625;7182445;1340
681628;7181211;1341
681628;7182485;1342
681635;7182535;1343
681636;7182320;1344
681636;7182392;1345
681642;7181367;1346
681645;7181287;1347
681660;7182262;1348
681660;7183111;1349
681664;7182508;1350
681665;7182352;1351
681667;7182455;1352
681671;7182906;1353
681678;7180895;1354
681679;7181104;1355
681683;7182331;1356
681684;7182205;1357
681684;7182707;1358
681686;7182074;1359
